	intensity_height	retention_time	spectrum	adduct	precursor_mz	peak_id
522	1038998.125	5.459883	50.01544:1572 50.63705:1260 51.02313:7244 53.03877:32351 55.01809:2330 65.03848:3593 67.36862:1472 71.06905:1407 77.03849:8967 81.03336:3602 88.07564:2246 91.05416:65439 93.06981:45650 94.04108:1709 95.04903:57323 102.04643:3377 103.05414:64299 105.04456:19379 108.06836:4567 109.07582:2130 121.0647:337470 137.07103:9746 155.08127:32425 218.75014:2566 226.89375:2344 234.59428:1485 274.27341:10055 275.1387:179181 275.27631:4911	[M+H]+	275.1388	522
523	164149.125	5.471163		[M+H]+	276.1421	523
524	16323099.0	5.48269	52.43074:16221 55.93456:283611 56.94238:1562188 72.93713:1557130 72.94187:28090 73.22696:24620 74.95272:41416 90.94767:562601 99.94769:22122 106.94226:30862 108.95824:70331 111.33906:16395 113.1766:14571 113.96364:1236909 115.97956:20032 118.94261:44666 118.96667:21519 130.96634:36363 131.97414:578783 136.95329:75212 138.35533:15911	[M+H]+	141.9585	524
525	211936.25	5.490434		[M+H]+	87.13637	525
526	239071.375	5.490434		[M+H]+	209.0919	526
527	5817741.0	5.498852	50.55273:3652 66.11542:445506 68.12949:559787 74.05193:3664 85.13213:2201965 86.13549:4134 93.0573:7502 113.92648:3981 153.93716:4356 160.9561:4658 169.25737:37558	[M+H]+	169.2569	527
528	276454.25	5.498852		[M+H]+	170.2602	528
529	1787047.75	5.507805	53.99545:2107 62.08724:34934 63.34166:2305 64.10139:4426 66.11539:1554756	[M+H]+	66.11537	529
530	1799645.125	5.507805	61.50475:2231 62.08728:3772 66.11537:1729522 68.12942:49517	[M+H]+	68.12945	530
531	901498.875	5.507805	52.10299:8292 56.04957:9234 65.10911:270232 66.11538:331175 67.12319:367680 68.12946:239325 84.04449:8935 84.0807:25406 84.12582:151227 84.13013:2811 84.13176:3150	[M+H]+	84.12595	531
532	87849960.0	5.507805	58.16961:110381 59.4239:91668 66.11538:27522328 68.12946:31613144 85.1321:12453325	[M+H]+	85.13201	532
533	2527320.75	5.507805	54.07552:1380 58.06544:1726 66.11536:13890 67.11275:65709 67.11874:418529 68.12959:13843 69.06987:5063 69.12666:72693 69.13283:440021 78.76046:1338 86.06004:16716 86.09647:16579 86.12904:32357 86.13535:190404	[M+H]+	86.13536	533
534	115831.0625	5.507805		[M+H]+	168.2506	534
535	264795.1875	5.53091		[M+H]+	69.13726	535
536	406861.5625	5.53091		[M+H]+	130.0862	536
537	485203.4375	5.53091		[M+H]+	148.0966	537
538	2059273.5	5.53091	55.05455:6618 55.93458:5721 56.04978:2106 56.94235:2552 57.06996:25335 58.06534:20769 59.0493:4767 62.06015:131610 62.34649:2282 65.03877:3601 67.05441:11018 72.93711:6250 73.92929:3608 74.88914:2142 79.05415:3449 81.06998:18831 83.08541:5433 84.0807:63164 85.06474:50829 85.07034:3319 88.07574:3587 90.9476:5283 102.09127:350433 123.11657:16846 127.77533:2317 128.10684:3426 130.06468:3396 131.0732:5777 132.9693:8307 144.08072:2762 145.08847:5576 146.11742:9387 150.97934:2836 159.06773:4032 160.96469:3115 165.03618:2901 174.09125:36272 178.97472:2582 202.12271:54439 202.17995:651583	[M+H]+	202.18	538
539	220324.3125	5.53091		[M+H]+	203.1833	539
540	17207952.0	5.552952	52.38166:11901 52.8342:11269 55.93459:158333 56.94239:925414 68.92314:12455 71.4758:14003 72.93713:879072 74.95261:36794 80.04905:17015 88.93163:14807 89.93949:22300 90.94762:364160 99.94801:22901 106.94227:32165 107.95017:25774 108.95805:39745 113.96365:1427829 115.97958:14580 118.9428:20122 125.07073:15458 125.96056:23188 130.96638:38024 131.9742:743389 132.35059:14305 136.95325:39135 141.95857:310335 148.52708:15904 148.9765:61442 153.10101:22880 154.98965:80012 155.97421:16959 159.96915:406570 182.98424:34000 183.11298:85530	[M+H-H2O]+	182.985	540
541	2043861.25	5.564999	56.04947:2483 57.06998:4344 66.03382:2548 67.57951:1727 69.04471:9978 81.04467:16260 83.06037:9138 84.04436:163151 84.06367:16747 91.09585:1870 95.06058:5043 96.06797:6436 107.06049:8859 108.06326:2907 109.07571:9449 110.08394:8002 125.07098:265653 125.09081:120960 125.10668:57483	[M+H]+	125.0708	541
542	107204.6875	5.564999		[M+H]+	192.113	542
543	569898.125	5.573256		[M+H]+	303.1701	543
544	104143.625	5.573256		[M+H]+	304.1736	544
545	699735.6875	5.605589	50.8213:1159 52.1281:1248 59.99017:1235 68.04942:1891 70.06512:75291 72.19212:1377 116.01643:1997 116.07048:20765 116.10693:1710	[M+H]+	116.0705	545
546	159926.0625	5.615321		[M+H]+	209.092	546
547	3722599.0	5.625929	53.03878:3717 54.93763:2966 55.93461:4538 67.04177:1562 72.9371:7928 89.03832:3782 90.94764:6455 91.05418:42353 95.04917:7683 98.98388:10586 103.05408:15530 104.90005:2037 105.04447:2568 115.05417:70937 116.04939:3804 116.06181:7259 117.05716:33786 117.06966:64913 118.06476:4720 126.04585:1818 127.05404:8696 128.04939:8939 128.06204:5168 129.05721:1856 134.06012:3404 142.0649:6413 143.07289:90427 144.08066:773483 145.06445:17758 146.05965:5187 149.07048:2601 155.06017:18053 180.88792:5399 185.09193:6749 197.89116:3579 202.3485:1665 207.88513:2605 208.88211:6921 215.9006:4104 225.89714:3524 226.89342:15557 254.88762:1497 263.87592:4120 264.87259:15268 281.88525:3822 282.88318:11694 287.88867:3149 300.4389:1955 328.16537:133142	[M+H]+	328.1653	547
548	721903.5	5.625929		[M+H]+	329.1687	548
549	496344.75	5.637603		[M+H]+	127.0725	549
550	1793406.125	5.637603	50.37644:1489 53.00227:2517 54.034:2073 57.07004:61996 67.0415:2803 68.04935:5334 80.04925:6341 80.52882:1471 81.0443:1668 82.05252:3130 82.06515:3478 92.04925:3573 93.05698:1585 94.05285:1744 94.06485:4066 95.06022:16115 96.0443:2550 97.0758:2803 97.8733:1656 107.05997:4782 108.06818:7116 109.07607:8717 110.04732:3491 111.05491:2072 118.42857:1854 119.06026:3632 120.06818:20160 121.07583:13255 123.05509:43144 124.06292:6092 125.0708:4455 126.07887:9051 135.05493:6104 136.06314:10451 137.07056:5507 149.07083:43511 149.08434:2367 154.07355:24873 154.68195:1813 155.08133:66277 167.08133:15480 185.09189:148671 192.04518:1569 210.13437:2548 211.14368:14497 241.15437:578494	[M+H]+	241.1545	550
551	227709.25	5.637603		[M+H]+	242.1576	551
552	8764653.0	5.648077	51.93998:8629 53.00242:5208 55.0545:3695 55.71162:1559 56.16689:1756 61.01078:242035 69.09084:1804 79.04669:1584 89.0419:488117 91.43908:1723 92.28172:1350 103.88376:1700 105.19729:1344 123.05475:1828 124.08736:2152 129.05714:1429 159.20569:1552 191.10716:1582 225.88538:1694 235.86906:1560 273.12643:374402	[M+H-H2O]+	273.1265	552
553	1061021.0	5.648077		[M+H-H2O]+	274.13	553
554	434258.375	5.648077		[M+H-H2O]+	275.1223	554
555	1628522.5	5.658451	55.70335:14253 55.93456:181220 56.9424:1130484 60.16961:15005 72.93714:1014229 73.93762:12775 74.95261:39113 83.9296:14179 88.93191:25091 89.93995:23780 90.94767:412504 95.05984:18562 99.94767:20369 102.94798:18297 106.94204:19746 107.95005:34586 108.95846:65063 111.05547:20427 113.96367:1469468 118.94231:32397 123.0551:88037 124.06272:31858 124.9528:23010 125.96027:25093 130.96635:37177 131.97418:725736 136.95309:24198 141.95851:340946 147.96971:19171 148.97668:63846 152.09418:43086 153.10201:82669 154.9904:80283 155.97444:20481 159.96904:429144 182.98485:66326 183.11292:275679	[M+H]+	183.1126	555
556	258904.25	5.658451		[M+H]+	184.1159	556
557	209220.625	5.667228		[M+H]+	81.0447	557
558	292388.0625	5.667228		[M+H]+	99.05522	558
559	151071.25	5.667228	53.03875:3499 59.44068:1162 77.39877:1419 91.05418:6231 93.04454:1375 93.06995:7492 95.04934:6824 103.05435:9618 103.73571:1371 105.04458:1300 121.03943:1471 121.06484:12346 121.07464:2492	[M+H]+	121.0647	559
560	564104.75	5.690865		[M+H]+	90.09129	560
561	131837.4375	5.71203		[M+H]+	169.097	561
